Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""masterCabang/btnCollapseMasterData""), 0)",Chrome 107.0.0.0,,,2022-11-03 22:42:19,2022-11-03 22:42:22,2.350s,PASSED
"click(findTestObject(""manajemenRole/btnManajemenRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:22,2022-11-03 22:42:22,0.650s,PASSED
"setText(findTestObject(""manajemenRole/fieldSearchRole""), ""bagRole"")",Chrome 107.0.0.0,,,2022-11-03 22:42:22,2022-11-03 22:42:23,1.010s,PASSED
"click(findTestObject(""manajemenRole/btnSearchRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:23,2022-11-03 22:42:24,0.446s,PASSED
"click(findTestObject(""manajemenRole/btnDetailRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:24,2022-11-03 22:42:25,0.980s,PASSED
"click(findTestObject(""manajemenRole/btnHapusRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:25,2022-11-03 22:42:25,0.565s,PASSED
"click(findTestObject(""manajemenRole/btnOkHapusRole""))",Chrome 107.0.0.0,,,2022-11-03 22:42:25,2022-11-03 22:42:26,0.945s,PASSED
delay(3),Chrome 107.0.0.0,,,2022-11-03 22:42:26,2022-11-03 22:42:29,3.007s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-11-03 22:42:29,2022-11-03 22:42:30,0.916s,PASSED
,,,,,,,
Test Cases/crudRole/succeessCreateNIE,Chrome 107.0.0.0,,,2022-11-03 22:42:30,2022-11-03 22:42:46,15.552s,PASSED
"openBrowser(""http://staging.radyalabs.id:7008/"")",Chrome 107.0.0.0,,,2022-11-03 22:42:30,2022-11-03 22:42:33,2.788s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-11-03 22:42:33,2022-11-03 22:42:33,0.147s,PASSED
"setText(findTestObject(""loginElement/fieldUsername""), ""sa"")",Chrome 107.0.0.0,,,2022-11-03 22:42:33,2022-11-03 22:42:34,0.773s,PASSED
"setText(findTestObject(""loginElement/fieldPassword""), ""qwerty@123"")",Chrome 107.0.0.0,,,2022-11-03 22:42:34,2022-11-03 22:42:35,0.773s,PASSED
